skills/dates,Software Applications Architect,Azure,NoSQL,SQL,Agile,Linux,Architecture,Javascript,Python,c++
2022-10-01,7,6,1,6,8,9,6,4,4,4
2022-10-02,9,4,4,5,1,7,2,8,7,2
2022-10-03,4,2,6,4,9,9,6,9,7,8
2022-10-04,8,7,7,3,7,5,7,6,7,2
2022-10-05,3,6,6,1,5,6,7,4,5,1
2022-10-06,5,6,8,2,8,9,3,3,6,5
2022-10-07,5,8,5,8,6,1,6,7,7,8
2022-10-08,4,3,4,3,9,5,8,8,4,4
2022-10-09,8,9,8,1,7,2,4,5,4,5
2022-10-10,6,3,8,6,2,7,5,1,3,9
2022-10-11,6,3,2,6,8,7,1,5,3,5
2022-10-12,8,8,7,7,4,5,4,3,2,9
2022-10-13,5,7,6,4,1,8,4,6,3,5
2022-10-14,1,4,4,4,6,7,3,1,7,3
2022-10-15,7,5,8,8,6,6,6,9,5,6
2022-10-16,8,9,6,3,7,2,5,9,8,4
2022-10-17,8,8,6,1,5,2,1,6,7,9
2022-10-18,7,7,5,6,7,6,1,1,5,9
2022-10-19,2,8,3,8,1,7,2,2,6,1
2022-10-20,6,8,4,4,7,2,9,2,1,4
2022-10-21,5,5,4,7,8,9,4,7,1,7
2022-10-22,9,7,6,8,4,5,8,9,4,2
2022-10-23,4,4,2,8,3,8,8,9,9,5
2022-10-24,9,8,2,1,7,4,8,2,2,6
2022-10-25,8,6,1,7,9,2,2,3,3,4
2022-10-26,9,2,4,5,1,2,1,9,2,4
2022-10-27,7,2,4,9,1,6,4,3,3,5
2022-10-28,4,2,5,2,1,8,6,7,5,3
2022-10-29,7,4,4,4,5,3,1,2,7,2
2022-10-30,4,2,2,8,1,5,6,6,1,8
2022-10-31,2,5,9,1,6,5,7,6,4,4
2022-11-01,4,2,9,3,2,2,5,2,2,8
2022-11-02,4,6,4,1,1,1,6,4,3,4
2022-11-03,8,9,5,4,5,6,5,1,1,6
2022-11-04,5,1,1,2,6,5,6,7,8,4
2022-11-05,7,1,4,6,9,5,8,6,3,4
2022-11-06,7,8,6,4,1,8,8,6,1,8
2022-11-07,7,6,3,5,9,2,1,4,1,1
2022-11-08,2,4,7,1,1,5,6,5,8,7
2022-11-09,2,9,5,9,9,4,7,8,9,9
2022-11-10,4,4,5,1,9,9,6,6,4,1
2022-11-11,3,4,9,2,8,3,5,8,7,7
2022-11-12,3,6,5,9,3,3,4,1,6,6
2022-11-13,1,6,7,8,8,2,1,5,2,9
2022-11-14,4,2,4,2,4,5,4,3,6,4
2022-11-15,4,7,3,1,9,3,6,6,6,7
2022-11-16,6,6,4,9,3,9,8,8,4,1
2022-11-17,3,5,9,1,8,2,4,8,3,9
2022-11-18,1,1,1,2,7,1,7,1,7,1
2022-11-19,8,4,1,9,6,3,6,9,9,7
2022-11-20,2,4,5,7,5,7,4,3,4,9
2022-11-21,1,3,6,8,5,1,1,5,3,2
2022-11-22,5,6,3,8,9,4,3,3,5,2
2022-11-23,8,8,4,9,8,4,2,1,8,8
2022-11-24,3,8,3,7,1,9,7,1,3,6
2022-11-25,5,9,2,9,7,7,8,6,2,4
2022-11-26,8,5,4,1,8,8,8,3,7,6
2022-11-27,9,4,6,2,7,3,1,4,9,4
2022-11-28,8,3,6,8,9,9,3,1,6,1
2022-11-29,3,4,5,8,7,5,1,1,4,7
2022-11-30,6,3,3,5,5,7,5,7,7,6
2022-12-01,3,3,1,8,2,5,7,1,2,2
2022-12-02,7,7,8,2,6,7,2,7,8,2
2022-12-03,5,3,1,2,7,3,1,2,8,6
2022-12-04,4,2,7,9,8,3,5,7,1,6
2022-12-05,1,8,1,3,6,7,8,8,2,7
2022-12-06,3,2,3,6,9,8,4,8,8,7
2022-12-07,7,6,2,5,6,1,8,2,4,1
2022-12-08,8,7,1,5,3,6,4,1,6,2
2022-12-09,2,7,6,6,9,7,8,1,7,6
2022-12-10,8,9,5,5,8,8,9,5,6,1
2022-12-11,8,2,7,9,7,3,9,9,2,2
2022-12-12,7,7,2,1,3,4,4,4,9,3
2022-12-13,9,8,7,5,3,9,3,6,8,2
2022-12-14,1,2,9,1,5,1,9,7,4,3
2022-12-15,4,8,4,6,2,8,9,7,8,9
2022-12-16,2,2,4,5,8,9,1,5,8,3
2022-12-17,7,8,9,2,4,5,5,5,7,6
2022-12-18,4,2,8,4,4,8,7,6,5,9
2022-12-19,4,5,9,9,4,1,5,5,3,3
2022-12-20,3,3,7,1,5,4,3,3,9,7
2022-12-21,4,2,3,5,6,9,4,3,5,3
2022-12-22,5,5,1,4,6,3,9,7,6,5
2022-12-23,7,3,1,7,8,8,3,7,6,2
2022-12-24,9,2,3,7,5,5,6,7,8,1
2022-12-25,9,8,8,4,3,3,7,5,1,8
2022-12-26,3,7,6,7,8,1,4,3,7,4
2022-12-27,4,3,8,8,3,5,9,7,7,9
2022-12-28,1,9,5,8,2,8,6,4,3,1
2022-12-29,2,1,5,6,1,6,7,2,9,6
2022-12-30,9,3,2,7,5,7,6,7,6,8
2022-12-31,5,7,7,7,7,9,5,1,1,9
2023-01-01,9,1,8,6,6,6,8,1,7,1
2023-01-02,2,7,1,1,6,1,2,5,9,7
2023-01-03,4,2,5,9,3,5,7,8,5,3
2023-01-04,4,8,6,2,5,7,8,9,2,3
2023-01-05,9,2,4,7,2,7,8,3,4,5
2023-01-06,7,6,7,2,7,3,8,8,3,5
2023-01-07,4,8,7,1,9,1,4,1,8,8
2023-01-08,4,3,7,9,6,7,2,6,3,1
2023-01-09,9,8,2,2,8,5,2,3,3,6
2023-01-10,9,7,9,9,4,6,4,8,3,6
2023-01-11,6,5,5,1,7,8,4,4,1,3
2023-01-12,1,8,4,7,7,4,9,9,8,1
2023-01-13,1,6,4,9,7,2,5,3,9,5
2023-01-14,2,1,1,2,8,7,4,2,5,4
2023-01-15,2,8,5,1,5,7,6,7,7,5
2023-01-16,7,6,6,9,5,6,4,3,1,8
2023-01-17,1,6,7,8,4,5,5,4,5,3
2023-01-18,3,1,9,1,2,4,7,7,3,6
2023-01-19,4,1,6,9,5,2,2,6,6,1
2023-01-20,8,4,9,9,2,8,5,7,5,2
2023-01-21,6,5,6,7,2,7,9,1,2,7
2023-01-22,2,6,5,8,8,1,5,8,8,5
2023-01-23,4,7,3,5,1,9,8,6,6,5
2023-01-24,5,2,3,7,9,1,1,7,6,9
2023-01-25,8,2,6,7,1,3,2,2,7,3
2023-01-26,7,3,3,8,7,7,9,6,4,2
2023-01-27,7,9,9,7,8,4,8,5,3,2
2023-01-28,7,7,5,1,9,1,8,9,4,7
2023-01-29,5,3,6,8,7,9,2,9,7,2
2023-01-30,8,3,8,5,8,5,5,6,4,4
2023-01-31,8,8,4,4,8,7,4,8,2,1
2023-02-01,2,8,7,5,3,4,7,2,7,6
2023-02-02,2,7,2,4,5,6,8,1,2,8
2023-02-03,9,4,5,9,2,3,8,2,3,1
2023-02-04,8,3,5,3,9,2,6,4,4,5
2023-02-05,7,9,3,5,7,3,2,7,4,3
2023-02-06,5,1,2,4,7,4,5,3,4,5
2023-02-07,1,2,6,6,2,3,3,6,3,9
2023-02-08,5,6,5,3,4,8,6,7,7,8
2023-02-09,7,2,5,1,4,7,9,5,1,4
2023-02-10,8,2,2,9,5,6,5,2,3,9
2023-02-11,6,7,7,6,1,9,3,9,1,5
2023-02-12,7,1,1,1,9,2,6,2,2,9
2023-02-13,8,5,3,5,1,5,3,7,3,3
2023-02-14,9,5,8,4,3,9,5,7,3,2
2023-02-15,4,5,7,6,7,7,8,1,8,7
2023-02-16,2,9,4,1,9,4,2,6,9,7
2023-02-17,3,3,7,5,4,5,1,2,9,8
2023-02-18,1,6,4,9,1,9,7,4,9,9
2023-02-19,5,2,3,8,9,7,3,3,2,1
2023-02-20,6,9,6,5,7,3,3,8,8,9
2023-02-21,8,5,7,7,4,4,8,3,9,2
2023-02-22,8,7,1,2,1,9,4,9,8,9
2023-02-23,4,4,9,3,6,8,1,3,7,4
2023-02-24,9,4,4,8,8,3,6,9,4,5
2023-02-25,2,7,4,3,7,8,9,1,3,9
2023-02-26,4,8,7,4,4,1,8,3,3,7
2023-02-27,2,7,4,9,2,5,2,4,4,1
2023-02-28,9,6,1,2,7,8,9,5,7,6
2023-03-01,6,4,1,8,8,7,6,5,3,6
2023-03-02,6,8,1,9,3,5,8,5,6,5
2023-03-03,3,6,8,9,6,8,7,6,4,2
2023-03-04,6,6,2,5,9,1,5,8,5,3
2023-03-05,1,7,4,2,4,1,1,8,1,8
2023-03-06,6,9,5,1,8,7,8,3,4,4
2023-03-07,9,9,9,6,7,7,8,1,2,7
2023-03-08,2,1,7,2,5,9,5,6,8,1
2023-03-09,5,7,5,7,4,6,4,2,3,9
2023-03-10,5,7,6,2,7,1,7,3,2,8
2023-03-11,5,2,8,7,8,6,4,8,6,5
2023-03-12,8,1,9,1,1,8,5,6,2,4
2023-03-13,5,7,6,5,6,9,6,7,5,8
2023-03-14,6,2,7,8,6,2,6,5,3,8
2023-03-15,7,7,2,1,4,9,8,8,3,5
2023-03-16,3,9,5,4,6,3,7,9,5,2
2023-03-17,7,9,6,7,8,1,7,3,9,8
2023-03-18,9,5,9,2,4,4,7,3,9,2
2023-03-19,2,7,9,6,6,4,3,8,1,9
2023-03-20,6,3,7,9,2,9,2,9,2,9
2023-03-21,2,2,6,1,8,5,2,4,3,3
2023-03-22,8,5,9,9,9,2,1,8,8,1
2023-03-23,2,7,9,5,9,4,7,2,5,9
2023-03-24,6,3,8,1,4,3,9,7,2,5
2023-03-25,9,1,7,4,7,9,9,2,2,8
2023-03-26,5,2,3,6,8,2,2,8,9,8
2023-03-27,1,1,3,5,4,4,8,3,4,7
2023-03-28,1,1,2,0,5,3,1,5,1,6
2023-03-29,1,1,0,4,2,5,4,4,4,0
2023-03-30,5,5,5,1,3,5,1,0,0,0
2023-03-31,2,3,0,2,1,1,5,4,5,2
2023-04-01,4,0,4,3,3,3,0,3,1,4
2023-04-02,2,4,1,2,4,2,5,4,0,1
2023-04-03,4,0,4,2,2,3,3,0,1,6
2023-04-04,2,3,1,4,5,0,5,1,4,0
2023-04-05,3,3,5,3,5,1,1,2,0,2
2023-04-06,1,0,4,3,1,0,0,5,5,6
2023-04-07,1,1,5,2,0,2,0,5,3,6
2023-04-08,1,0,5,4,2,5,4,2,0,2
2023-04-09,3,3,4,2,4,4,2,3,0,0
2023-04-10,4,1,0,2,2,1,5,1,3,6
2023-04-11,5,5,5,5,1,0,3,0,1,0
2023-04-12,0,5,5,2,4,3,5,1,0,0
2023-04-13,0,1,1,5,2,3,4,2,4,3
2023-04-14,1,2,3,5,0,2,1,3,5,3
2023-04-15,1,4,2,2,1,4,3,2,2,4
2023-04-16,4,1,1,1,3,3,1,0,3,8
2023-04-17,3,2,4,0,2,4,4,5,1,0
2023-04-18,2,5,1,0,1,4,0,3,2,7
2023-04-19,0,4,1,4,5,2,0,2,5,2
2023-04-20,2,4,2,1,4,3,4,1,4,0
2023-04-21,1,0,2,3,4,2,4,5,3,1
2023-04-22,1,0,2,4,0,2,5,5,1,5
2023-04-23,5,1,1,5,4,2,1,2,1,3
2023-04-24,1,1,3,2,3,0,0,3,2,10
2023-04-25,3,1,3,1,3,4,0,1,3,6
2023-04-26,5,3,2,3,2,1,4,5,0,0
2023-04-27,2,0,1,3,3,5,5,3,3,0
2023-04-28,2,5,0,5,4,1,0,3,2,3
2023-04-29,5,5,3,2,0,2,1,3,0,4
2023-04-30,4,4,0,3,1,3,3,1,3,3
2023-05-01,4,3,3,4,5,1,2,3,0,0
2023-05-02,1,3,5,5,0,0,1,5,5,0
2023-05-03,1,3,0,5,1,1,1,3,5,5
2023-05-04,5,1,1,5,1,5,2,1,0,4
2023-05-05,0,0,4,0,4,4,2,3,5,3
2023-05-06,3,1,0,4,3,0,0,4,1,9
2023-05-07,2,4,5,3,1,2,4,0,2,2
2023-05-08,3,5,4,4,3,4,1,1,0,0
2023-05-09,2,3,0,0,3,4,5,0,5,3
2023-05-10,5,2,5,3,5,4,0,0,1,0
2023-05-11,0,3,4,5,1,0,3,5,2,2
2023-05-12,0,3,4,5,4,5,2,2,0,0
2023-05-13,5,0,4,0,2,0,4,4,3,3
2023-05-14,3,0,5,5,2,4,1,5,0,0
2023-05-15,1,2,3,3,0,1,5,0,4,6
2023-05-16,1,3,2,1,5,1,4,1,1,6
2023-05-17,1,0,3,3,2,2,4,2,5,3
2023-05-18,0,0,1,4,5,5,0,0,0,10
2023-05-19,4,3,1,5,5,2,2,3,0,0
2023-05-20,3,0,4,3,1,0,5,4,2,3
2023-05-21,4,1,2,1,5,1,5,5,1,0
2023-05-22,4,1,5,4,2,4,2,3,0,0
2023-05-23,4,0,4,4,4,3,2,3,0,1
2023-05-24,5,0,4,0,4,0,4,0,3,5
2023-05-25,2,2,0,0,4,0,0,1,2,14
2023-05-26,1,1,4,5,0,4,0,1,5,4
2023-05-27,1,3,1,3,4,0,3,2,5,3
2023-05-28,1,2,1,4,4,1,4,4,3,1
2023-05-29,1,4,1,0,1,1,0,2,1,14
2023-05-30,2,1,2,2,1,1,4,3,3,6
2023-05-31,0,0,1,2,5,0,2,2,2,11
2023-06-01,1,5,5,1,0,1,5,2,5,0
2023-06-02,1,4,5,1,2,4,3,2,0,3
2023-06-03,1,1,1,2,4,1,5,0,3,7
2023-06-04,2,5,4,3,0,0,5,3,0,3
2023-06-05,3,3,3,0,1,3,0,2,0,10
2023-06-06,2,5,1,5,5,4,3,0,0,0
2023-06-07,2,4,2,2,2,3,3,4,2,1
2023-06-08,1,3,2,2,0,1,5,3,5,3
2023-06-09,1,5,4,0,4,2,0,4,3,2
2023-06-10,4,4,0,1,0,5,3,0,5,3
2023-06-11,0,1,4,4,5,1,4,0,4,2
2023-06-12,0,4,1,2,2,1,0,1,3,11
2023-06-13,4,2,2,5,1,4,3,1,1,2
2023-06-14,3,4,5,4,4,3,0,1,1,0
2023-06-15,1,2,4,2,2,1,0,2,3,8
2023-06-16,5,5,2,5,3,3,1,0,1,0
2023-06-17,2,3,5,4,1,0,1,1,3,5
2023-06-18,2,0,5,2,0,5,0,5,1,5
2023-06-19,5,4,3,2,4,5,1,1,0,0
2023-06-20,4,2,0,4,4,3,3,4,0,1
2023-06-21,3,5,0,4,1,3,5,1,0,3
2023-06-22,4,5,2,2,1,3,5,0,2,1
2023-06-23,2,1,5,2,1,0,3,2,5,4
2023-06-24,4,0,1,4,5,4,1,3,0,3
2023-06-25,5,0,1,5,2,5,1,3,3,0
2023-06-26,3,4,5,1,2,3,3,1,0,3
2023-06-27,5,5,1,2,4,0,1,0,3,4
2023-06-28,3,0,5,3,0,5,1,4,0,4
2023-06-29,5,4,4,4,0,2,4,0,0,2
2023-06-30,1,4,3,3,4,3,0,5,1,1
2023-07-01,4,3,2,3,2,4,5,2,0,0
2023-07-02,0,3,0,5,5,0,0,2,1,9
2023-07-03,1,3,0,4,0,4,2,1,3,7
2023-07-04,4,3,5,3,0,0,5,2,2,1
2023-07-05,1,0,1,1,1,5,4,1,0,11
2023-07-06,5,0,1,4,3,5,4,2,1,0
2023-07-07,5,1,4,2,3,3,0,0,0,7
2023-07-08,1,1,4,0,4,2,3,3,3,4
2023-07-09,1,2,0,0,0,0,3,0,0,19
2023-07-10,5,3,0,2,5,3,4,2,1,0
2023-07-11,0,2,1,2,2,3,4,3,1,7
2023-07-12,4,0,3,1,4,2,5,5,0,1
2023-07-13,0,5,3,5,3,0,2,1,0,6
2023-07-14,3,2,4,1,3,4,1,2,4,1
2023-07-15,3,3,1,0,1,5,1,5,3,3
2023-07-16,3,4,4,3,5,5,1,0,0,0
2023-07-17,0,4,0,3,0,0,5,5,2,6
2023-07-18,1,2,5,0,2,3,1,2,0,9
2023-07-19,5,0,5,2,3,2,3,3,0,2
2023-07-20,0,1,3,2,4,0,5,5,5,0
2023-07-21,2,3,0,2,0,5,2,4,5,2
2023-07-22,4,4,3,0,4,5,2,0,0,3
2023-07-23,1,2,1,3,4,1,2,1,4,6
2023-07-24,0,1,4,5,3,3,2,5,1,1
2023-07-25,4,1,3,0,3,0,2,5,2,5
2023-07-26,0,3,4,0,2,5,0,3,0,8
2023-07-27,3,1,4,3,1,3,2,2,3,3
2023-07-28,2,5,0,5,1,0,3,0,2,7
2023-07-29,5,3,5,4,2,0,4,1,1,0
2023-07-30,0,0,4,0,4,5,4,1,2,5
2023-07-31,2,4,2,4,0,3,1,3,0,6
2023-08-01,1,0,2,3,5,5,5,3,0,1
2023-08-02,0,1,2,5,2,1,0,3,0,11
2023-08-03,1,2,4,0,4,5,0,0,5,4
2023-08-04,4,4,4,2,5,3,1,2,0,0
2023-08-05,2,1,4,1,3,0,5,3,3,3
2023-08-06,1,5,3,1,0,2,3,3,4,3
2023-08-07,3,1,4,1,5,0,2,0,2,7
2023-08-08,2,0,1,5,4,1,2,0,2,8
2023-08-09,0,0,2,1,2,2,3,3,2,10
2023-08-10,3,4,1,4,3,1,5,0,3,1
2023-08-11,1,4,5,2,5,1,2,1,0,4
2023-08-12,4,3,5,3,1,5,2,0,2,0
2023-08-13,1,2,3,3,1,0,5,4,1,5
2023-08-14,5,4,4,1,3,3,4,0,0,1
2023-08-15,4,1,0,0,2,5,0,2,1,10
2023-08-16,1,5,1,5,3,3,4,3,0,0
2023-08-17,5,1,4,5,3,1,2,1,0,3
2023-08-18,4,0,4,2,2,0,3,3,5,2
2023-08-19,1,5,2,4,1,2,1,3,4,2
2023-08-20,1,5,2,5,1,1,3,2,3,2
2023-08-21,0,2,1,1,2,3,2,5,3,6
2023-08-22,0,3,0,1,1,2,5,2,5,6
2023-08-23,2,4,2,2,5,5,0,5,0,0
2023-08-24,1,0,2,5,1,1,2,1,4,8
2023-08-25,1,5,5,3,3,2,1,0,4,1
2023-08-26,5,4,1,5,1,1,3,5,0,0
2023-08-27,4,2,2,1,1,2,1,0,0,12
2023-08-28,5,0,5,0,5,4,0,3,3,0
2023-08-29,1,0,1,0,4,2,4,4,0,9
2023-08-30,1,3,3,4,1,2,0,2,3,6
2023-08-31,2,0,2,5,0,3,4,0,0,9
2023-09-01,0,5,4,3,5,3,1,1,0,3
2023-09-02,4,2,2,5,0,2,5,0,3,2
2023-09-03,2,2,0,1,1,5,3,4,5,2
2023-09-04,4,5,0,1,3,5,1,3,0,3
2023-09-05,2,1,5,5,1,1,5,2,3,0
2023-09-06,5,0,5,3,1,3,5,2,0,1
2023-09-07,4,4,5,2,1,0,4,4,1,0
2023-09-08,0,1,5,3,2,3,5,3,0,3
2023-09-09,0,1,5,0,0,5,2,2,2,8
2023-09-10,3,0,1,0,1,0,3,4,2,11
2023-09-11,3,1,2,3,3,2,3,0,5,3
2023-09-12,2,0,1,0,2,5,0,1,1,13
2023-09-13,0,1,5,1,3,5,3,1,0,6
2023-09-14,3,0,1,5,2,5,4,1,2,2
2023-09-15,2,4,5,5,4,5,0,0,0,0
2023-09-16,0,3,2,0,1,5,3,4,1,6
2023-09-17,0,2,3,2,0,4,2,3,4,5
2023-09-18,2,4,1,1,4,0,2,1,5,5
2023-09-19,3,2,1,4,2,4,4,2,0,3
2023-09-20,3,5,0,0,3,3,2,5,1,3
2023-09-21,0,4,2,5,0,3,5,1,5,0
2023-09-22,2,4,4,0,2,1,2,4,5,1
2023-09-23,0,2,3,2,0,1,0,1,0,16
2023-09-24,0,2,2,5,0,0,0,1,0,15
2023-09-25,1,2,0,0,0,0,2,1,2,17
2023-09-26,0,0,4,2,1,0,4,1,3,10
2023-09-27,5,2,5,2,5,2,3,0,0,1
2023-09-28,0,4,5,4,2,1,1,2,1,5
2023-09-29,2,3,3,3,0,4,1,4,3,2
2023-09-30,3,4,1,4,5,2,1,5,0,0
2023-10-01,1,2,3,2,2,5,3,1,4,2
2023-10-02,3,5,3,4,1,5,1,1,0,2
2023-10-03,2,5,2,3,0,1,4,4,0,4
2023-10-04,1,2,4,4,3,3,2,3,2,1
2023-10-05,1,4,4,5,2,1,0,4,3,1
2023-10-06,1,1,1,4,1,2,0,3,3,9
